人物ID,姓名,姓,名,姓読み,名読み,姓読みソート用,名読みソート用,姓ローマ字,名ローマ字,生年月日,没年月日,人物著作権フラグ
230,石原莞爾,石原,莞爾,いしわら,かんじ,いしわら,かんし,Ishiwara,Kanji,1889-01-18,1949-08-15,なし
361,トルストイレオ,トルストイ,レオ,トルストイ,レオ,とるすとい,れお,Tolstoi,Lev,1828,1910,なし
1383,谷崎潤一郎,谷崎,潤一郎,たにざき,じゅんいちろう,たにさき,しゆんいちろう,Tanizaki,Jun'ichiro,1886-07-24,1965-07-30,なし
20,渡辺温,渡辺,温,わたなべ,おん,わたなへ,おん,Watanabe,On,1902-08-26,1930-02-10,なし
1090,オルコットルイーザ・メイ,オルコット,ルイーザ・メイ,オルコット,ルイーザ・メイ,おるこつと,るいさめい,Alcott,Louisa May,1832-11-29,1888-03-06,なし
1475,小川未明,小川,未明,おがわ,みめい,おかわ,みめい,Ogawa,Mimei,1882-04-07,1961-05-11,なし
258,小泉八雲,小泉,八雲,こいずみ,やくも,こいすみ,やくも,Koizumi,Yakumo,1850-06-27,1904-09-26,なし
1347,岡倉覚三,岡倉,覚三,おかくら,かくぞう,おかくら,かくそう,Okakura,Kakuzo,1863-02-14,1913-09-02,なし
238,岡倉天心,岡倉,天心,おかくら,てんしん,おかくら,てんしん,Okakura,Tenshin,1863-02-14,1913-09-02,なし
179,黒岩涙香,黒岩,涙香,くろいわ,るいこう,くろいわ,るいこう,Kuroiwa,Ruiko,1862-11-20,1920-10-06,なし
961,ダンテアリギエリ,ダンテ,アリギエリ,ダンテ,アリギエリ,たんて,ありきえり,Dante,Alighieri,1265,1321,なし
1234,愛知敬一,愛知,敬一,あいち,けいいち,あいち,けいいち,Aichi,Keiichi,1880-07-25,1923-06-23,なし
1097,下村湖人,下村,湖人,しもむら,こじん,しもむら,こしん,Shimomura,Kojin,1884-10-03,1955-04-20,なし
51,幸田露伴,幸田,露伴,こうだ,ろはん,こうた,ろはん,Koda,Rohan,1867-08-20,1947-07-30,なし
924,永井隆,永井,隆,ながい,たかし,なかい,たかし,Nagai,Takashi,1908-02-03,1951-05-01,なし
235,上田敏,上田,敏,うえだ,びん,うえた,ひん,Ueda,Bin,1874-10-30,1916-07-09,なし
1176,シェリーメアリー・ウォルストンクラフト,シェリー,メアリー・ウォルストンクラフト,シェリー,メアリー・ウォルストンクラフト,しえりい,めありいうおるすとんくらふと,Shelley,Mary Wollstonecraft,1797-08-30,1851-02-01,なし
168,横光利一,横光,利一,よこみつ,りいち,よこみつ,りいち,Yokomitsu,Riichi,1898-03-17,1947-12-30,なし
160,海野十三,海野,十三,うんの,じゅうざ,うんの,しゆうさ,Unno,Juza,1897-12-26,1949-05-17,なし
280,徳冨蘆花,徳冨,蘆花,とくとみ,ろか,とくとみ,ろか,Tokutomi,Roka,1868-12-08,1927-09-18,なし
1121,ルブランモーリス,ルブラン,モーリス,ルブラン,モーリス,るふらん,もおりす,Leblanc,Maurice,1864-11-11,1941-11-06,なし
1094,ユゴーヴィクトル,ユゴー,ヴィクトル,ユゴー,ヴィクトル,ゆこお,ういくとる,Hugo,Victor,1802-02-26,1885-05-22,なし
269,高神覚昇,高神,覚昇,たかがみ,かくしょう,たかかみ,かくしよう,Takagami,Kakusho,1894,1948,なし
13,八木重吉,八木,重吉,やぎ,じゅうきち,やき,しゆうきち,Yagi,Jukichi,1898-02-09,1927-10-26,なし
264,シェークスピアウィリアム,シェークスピア,ウィリアム,シェークスピア,ウィリアム,しええくすひあ,ういりあむ,Shakespeare,William,1546,1616,なし
1529,作者不詳,作者不詳,,さくしゃふしょう,,さくしやふしよう,,Sakushafusho,,,,なし
575,佐藤紅緑,佐藤,紅緑,さとう,こうろく,さとう,こうろく,Sato,Koroku,1874-07-06,1949-06-03,なし
933,折口信夫,折口,信夫,おりくち,しのぶ,おりくち,しのふ,Orikuchi,Shinobu,1887-02-11,1953-09-03,なし
140,テニソンアルフレッド,テニソン,アルフレッド,テニソン,アルフレッド,てにそん,あるふれつと,Tennyson,Alfred,1809-08-06,1892-10-06,なし
1048,アミーチスエドモンド・デ,アミーチス,エドモンド・デ,アミーチス,エドモンド・デ,あみいちす,えともんとて,Amicis,Edmondo De,1846-10-31,1908-03-11,なし
40,織田作之助,織田,作之助,おだ,さくのすけ,おた,さくのすけ,Oda,Sakunosuke,1913-10-26,1947-01-10,なし
76,岡本かの子,岡本,かの子,おかもと,かのこ,おかもと,かのこ,Okamoto,Kanoko,1889-03-01,1939-02-18,なし
245,加藤文太郎,加藤,文太郎,かとう,ぶんたろう,かとう,ふんたろう,Kato,Buntaro,1905-03-11,1936-01-05,なし
1120,須川邦彦,須川,邦彦,すがわ,くにひこ,すかわ,くにひこ,Sugawa,Kunihiko,1880,1949,なし
1562,吉川英治,吉川,英治,よしかわ,えいじ,よしかわ,えいし,Yoshikawa,Eiji,1892-08-11,1962-09-07,なし
288,ハイヤームオマル,ハイヤーム,オマル,ハイヤーム,オマル,はいやあむ,おまる,Khayyam,Umar,1048,1131,なし
1045,バーネットフランシス・ホジソン・エリザ,バーネット,フランシス・ホジソン・エリザ,バーネット,フランシス・ホジソン・エリザ,はあねつと,ふらんしすほしそんえりさ,Burnett,Frances Eliza Hodgson,1849-11-24,1924-10-29,なし
182,西田幾多郎,西田,幾多郎,にしだ,きたろう,にした,きたろう,Nishida,Kitaro,1870-06-17,1945-06-07,なし
291,林芙美子,林,芙美子,はやし,ふみこ,はやし,ふみこ,Hayashi,Fumiko,1903-12-31,1951-06-28,なし
305,正岡子規,正岡,子規,まさおか,しき,まさおか,しき,Masaoka,Shiki,1867-10-14,1902-09-19,なし
106,北原白秋,北原,白秋,きたはら,はくしゅう,きたはら,はくしゆう,Kitahara,Hakushu,1885-01-25,1942-11-02,なし
5,ツルゲーネフイワン,ツルゲーネフ,イワン,ツルゲーネフ,イワン,つるけえねふ,いわん,Turgenev,Ivan,1818-11-09,1883-09-03,なし
885,与謝野晶子,与謝野,晶子,よさの,あきこ,よさの,あきこ,Yosano,Akiko,1878-12-07,1942-05-29,なし
283,中里介山,中里,介山,なかざと,かいざん,なかさと,かいさん,Nakazato,Kaizan,1885-04-04,1944-04-28,なし
1296,ランボージャン・ニコラ・アルチュール,ランボー,ジャン・ニコラ・アルチュール,ランボー,ジャン・ニコラ・アルチュール,らんほお,しやんにこらあるちゆうる,Rimbaud,Jean Nicolas Arthur,1854-10-20,1891-11-10,なし
1266,牧野富太郎,牧野,富太郎,まきの,とみたろう,まきの,とみたろう,Makino,Tomitaro,1862-05-22,1957-01-18,なし
1134,ペローシャルル,ペロー,シャルル,ペロー,シャルル,へろお,しやるる,Perrault,Charles,1628-01-12,1703-05-16,なし
1059,斎藤茂吉,斎藤,茂吉,さいとう,もきち,さいとう,もきち,Saito,Mokichi,1882-5-14,1953-2-25,なし
250,河上肇,河上,肇,かわかみ,はじめ,かわかみ,はしめ,Kawakami,Hajime,1879-10-20,1946-01-30,なし
1053,峠三吉,峠,三吉,とうげ,さんきち,とうけ,さんきち,Toge,Sankichi,1917-02-19,1953-03-10,なし
1404,河口慧海,河口,慧海,かわぐち,えかい,かわくち,えかい,Kwaguchi,Ekai,1866-02-26,1945-02-24,なし
118,長塚節,長塚,節,ながつか,たかし,なかつか,たかし,Nagatsuka,Takashi,1879-04-03,1915-02-08,なし
1072,和田万吉,和田,万吉,わだ,まんきち,わた,まんきち,Wada,Mankichi,1865-10-07,1934-11-21,なし
1395,和辻哲郎,和辻,哲郎,わつじ,てつろう,わつし,てつろう,Watsuji,Tetsuro,1889-03-01,1960-12-26,なし
1044,ド・ラ・ラメーマリー・ルイーズ,ド・ラ・ラメー,マリー・ルイーズ,ド・ラ・ラメー,マリー・ルイーズ,とららめえ,まりいるいす,de la Ramee,Marie Louise,1839-01-01,1908-01-25,なし
126,田中英光,田中,英光,たなか,ひでみつ,たなか,ひてみつ,Tanaka,Hidemitsu,1913-01-10,1949-11-03,なし
14,村山槐多,村山,槐多,むらやま,かいた,むらやま,かいた,Murayama,Kaita,1896-09-15,1919-02-20,なし
256,倉田百三,倉田,百三,くらた,ひゃくぞう,くらた,ひやくそう,Kurata,Hyakuzo,1891-02-23,1943-02-12,なし
1341,永井荷風,永井,荷風,ながい,かふう,なかい,かふう,Nagai,Kafu,1879-12-03,1959-04-30,なし
293,原民喜,原,民喜,はら,たみき,はら,たみき,Hara,Tamiki,1905-11-15,1951-03-13,なし
372,桑原隲蔵,桑原,隲蔵,くわばら,じつぞう,くわはら,しつそう,Kuwabara,Jitsuzo,1871-01-27,1931-05-24,なし
34,内村鑑三,内村,鑑三,うちむら,かんぞう,うちむら,かんそう,Uchimura,Kanzo,1861-03-26,1930-03-28,なし
1028,イプセンヘンリック,イプセン,ヘンリック,イプセン,ヘンリック,いふせん,へんりつく,Ibsen,Henrik,1828-03-20,1906-05-23,なし
311,宮本百合子,宮本,百合子,みやもと,ゆりこ,みやもと,ゆりこ,Miyamoto,Yuriko,1899-02-13,1951-01-21,なし
82,岡本綺堂,岡本,綺堂,おかもと,きどう,おかもと,きとう,Okamoto,Kido,1872-11-15,1939-03-01,なし
1245,会津八一,会津,八一,あいづ,やいち,あいつ,やいち,Aizu,Yaichi,1881-08-01,1956-11-21,なし
1029,デカルトルネ,デカルト,ルネ,デカルト,ルネ,てかると,るね,Descartes,Rene,1596,1650,なし
1025,ゲーテヨハン・ヴォルフガング・フォン,ゲーテ,ヨハン・ヴォルフガング・フォン,ゲーテ,ヨハン・ヴォルフガング・フォン,けえて,よはんうおるふかんくふおん,Goethe,Johann Wolfgang von,1749-08-28,1832-03-22,なし
1403,北大路魯山人,北大路,魯山人,きたおおじ,ろさんじん,きたおおし,ろさんしん,Kitaoji,Rosanjin,1883-03-23,1959-12-21,なし
93,南方熊楠,南方,熊楠,みなかた,くまぐす,みなかた,くまくす,Minakata,Kumagusu,1867-05-18,1941-12-29,なし
1034,浅野和三郎,浅野,和三郎,あさの,わさぶろう,あさの,わさふろう,Asano,Wasaburo,1874-08,1937-02-03,なし
1465,東健而,東,健而,あずま,けんじ,あすま,けんし,Azuma,Kenji,1889,1933,なし
146,種田山頭火,種田,山頭火,たねだ,さんとうか,たねた,さんとうか,Taneda,Santoka,1882-12-03,1940-10-11,なし
1839,荒木光二郎,荒木,光二郎,あらき,こうじろう,あらき,こうしろう,Araki,Kojiro,,,あり
1264,榎本武揚,榎本,武揚,えのもと,たけあき,えのもと,たけあき,Enomoto,Takeaki,1836-10-05,1908-10-26,なし
354,勝海舟,勝,海舟,かつ,かいしゅう,かつ,かいしゆう,Katsu,Kaishu,1823-03-12,1899-01-19,なし
535,桐生悠々,桐生,悠々,きりゅう,ゆうゆう,きりゆう,ゆうゆう,Kiryu,Yuyu,1873-05-20,1941-09-10,なし
1257,アーヴィングワシントン,アーヴィング,ワシントン,アーヴィング,ワシントン,ああういんく,わしんとん,Irving,Washington,1783-04-03,1859-11-28,なし
718,新渡戸稲造,新渡戸,稲造,にとべ,いなぞう,にとへ,いなそう,Nitobe,Inazo,1862-09-01,1933-10-16,なし
903,モーパッサンギ・ド,モーパッサン,ギ・ド,モーパッサン,ギ・ド,もおはつさん,きと,Maupassant,Guy De,1850-08-05,1893-07-06,なし
226,アレニウススヴァンテ,アレニウス,スヴァンテ,アレニウス,スヴァンテ,あれにうす,すうあんて,Arrhenius,Svante,1859-02-19,1927-10-02,なし
969,杉山萠円,杉山,萠円,すぎやま,ほうえん,すきやま,ほうえん,Sugiyama,Hoen,1889-01-04,1936-03-11,なし
124,小熊秀雄,小熊,秀雄,おぐま,ひでお,おくま,ひてお,Oguma,Hideo,1901-09-09,1940-11-20,なし
1155,チェーホフアントン,チェーホフ,アントン,チェーホフ,アントン,ちええほふ,あんとん,Chekhov,Anton,1860-01-17,1904-07-02,なし
1843,アレンリリー・Ｌ,アレン,リリー・Ｌ,アレン,リリー・エル,あれん,りりいえる,Allen,Lily L.,1867-12-30,1952-02-14,なし
216,直木三十五,直木,三十五,なおき,さんじゅうご,なおき,さんしゆうこ,Naoki,Sanjugo,1891-02-12,1934-02-24,なし
154,田中貢太郎,田中,貢太郎,たなか,こうたろう,たなか,こうたろう,Tanaka,Kotaro,1880-03-02,1941-02-01,なし
279,徳冨健次郎,徳冨,健次郎,とくとみ,けんじろう,とくとみ,けんしろう,Tokutomi,Kenjiro,1868-12-08,1927-09-18,なし
997,北条民雄,北条,民雄,ほうじょう,たみお,ほうしよう,たみお,Hojo,Tamio,1914-09-22,1937-12-05,なし
1216,井原西鶴,井原,西鶴,いはら,さいかく,いはら,さいかく,Ihara,Saikaku,1642,1693-09-09,なし
286,野口雨情,野口,雨情,のぐち,うじょう,のくち,うしよう,Noguchi,Ujo,1882-05-29,1945-01-27,なし
1579,室生犀星,室生,犀星,むろう,さいせい,むろう,さいせい,Murou,Saisei,1889-08-01,1962-03-26,なし
1093,ロランロマン,ロラン,ロマン,ロラン,ロマン,ろらん,ろまん,Rolland,Romain,1866-01-29,1944-12-30,なし
1189,ジェファーソントマス,ジェファーソン,トマス,ジェファーソン,トマス,しえふああそん,とます,Jefferson,Thomas,1743-04-13,1826-07-04,なし
1430,ウェルズハーバート・ジョージ,ウェルズ,ハーバート・ジョージ,ウェルズ,ハーバート・ジョージ,うえるす,はあはあとしよおし,Wells,Herbert George,1866-09-21,1946-08-13,なし
1320,西郷隆盛,西郷,隆盛,さいごう,たかもり,さいこう,たかもり,Saigo,Takamori,1828-01-23,1877-09-24,なし
57,福田英子,福田,英子,ふくだ,ひでこ,ふくた,ひてこ,Fukuda,Hideko,1865-11-22,1927-05-02,なし
1085,イエイツウィリアム・バトラー,イエイツ,ウィリアム・バトラー,イエイツ,ウィリアム・バトラー,いえいつ,ういりあむはとらあ,Yeats,William Butler,1865-06-13,1939-01-28,なし
1380,石川欣一,石川,欣一,いしかわ,きんいち,いしかわ,きんいち,Ishikawa,Kinichi,1895-03-17,1959-08-04,なし
207,ゴーゴリニコライ,ゴーゴリ,ニコライ,ゴーゴリ,ニコライ,こおこり,にこらい,Gogol,Nikolai,1809-03-12,1852-02-21,なし
1528,日本国,日本国,,にほんこく,,にほんこく,,Nihonkoku,,,,なし
1224,久生十蘭,久生,十蘭,ひさお,じゅうらん,ひさお,しゆうらん,Hisao,Juran,1902-04-06,1957-10-06,なし
906,豊島与志雄,豊島,与志雄,とよしま,よしお,とよしま,よしお,Toyoshima,Yoshio,1890-11-27,1955-06-18,なし
968,かぐつちみどり,かぐつち,みどり,かぐつち,みどり,かくつち,みとり,Kagutsuchi,Midori,1889-01-04,1936-03-11,なし
1351,池田蕉園,池田,蕉園,いけだ,しょうえん,いけた,しようえん,Ikeda,Shoen,1886-05-13,1917-12-01,なし
351,増田雅子,増田,雅子,ますだ,まさこ,ますた,まさこ,Masuda,Masako,1880-05-06,1946-09-02,なし
318,山川登美子,山川,登美子,やまかわ,とみこ,やまかわ,とみこ,Yamakawa,Tomiko,1879-07-19,1909-04-15,なし
1099,ホーマー,ホーマー,,ホーマー,,ほおまあ,,Homer,,,,なし
1160,池田菊苗,池田,菊苗,いけだ,きくなえ,いけた,きくなえ,Ikeda,Kikunae,1864,1936-05-03,なし
1159,佐野昌一,佐野,昌一,さの,しょういち,さの,しよういち,Sano,Shoichi,1897-12-26,1949-05-17,なし
1421,阿部次郎,阿部,次郎,あべ,じろう,あへ,しろう,Abe,Jiro,1883-08-27,1959-10-20,なし
11,立原道造,立原,道造,たちはら,みちぞう,たちはら,みちそう,Tachihara,Michizo,1914-07-30,1939-03-29,なし
1869,山本周五郎,山本,周五郎,やまもと,しゅうごろう,やまもと,しゆうころう,Yamamoto,Shugoro,1903-06-22,1967-02-14,なし
827,森本薫,森本,薫,もりもと,かおる,もりもと,かおる,Morimoto,Kaoru,1912-06-04,1946-10-06,なし
966,海若藍平,海若,藍平,かいじゃく,らんぺい,かいしやく,らんへい,Kaijaku,Ranpei,1889-01-04,1936-03-11,なし
1119,岩波茂雄,岩波,茂雄,いわなみ,しげお,いわなみ,しけお,Iwanami,Shigeo,1881-08-27,1946-04-25,なし
1569,中谷宇吉郎,中谷,宇吉郎,なかや,うきちろう,なかや,うきちろう,Nakaya,Ukichiro,1900-07-04,1962-04-11,なし
1049,ファーブルジャン・アンリ,ファーブル,ジャン・アンリ,ファーブル,ジャン・アンリ,ふああふる,しやんあんり,Fabre,Jean Henri,1823-12-23,1915-10-11,なし
281,戸坂潤,戸坂,潤,とさか,じゅん,とさか,しゆん,Tosaka,Jun,1900-09-27,1945-08-09,なし
1734,石波杏,石波,杏,いしなみ,きょう,いしなみ,きよう,Ishinami,Kyo,1982,,あり
157,北村透谷,北村,透谷,きたむら,とうこく,きたむら,とうこく,Kitamura,Tokoku,1868-12-29,1894-05-16,なし
989,三遊亭円朝,三遊亭,円朝,さんゆうてい,えんちょう,さんゆうてい,えんちよう,San'yutei,Encho,1839-05-13,1900-08-11,なし
1477,陳寿,陳,寿,ちん,じゅ,ちん,しゆ,Chen,Shou,233,297,なし
1429,石原純,石原,純,いしわら,あつし,いしわら,あつし,Ishiwara,Atsushi,1881-1-15,1947-1-19,なし
726,長谷川時雨,長谷川,時雨,はせがわ,しぐれ,はせかわ,しくれ,Hasegawa,Shigure,1879-10-01,1941-08-22,なし
1011,波多野精一,波多野,精一,はたの,せいいち,はたの,せいいち,Hatano,Seiichi,1877-07-21,1950-01-17,なし
886,泉鏡太郎,泉,鏡太郎,いずみ,きょうたろう,いすみ,きようたろう,Izumi,Kyotaro,1873-11-04,1939-09-07,なし
981,巌谷小波,巌谷,小波,いわや,さざなみ,いわや,ささなみ,Iwaya,Sazanami,1870-07-04,1933-09-05,なし
136,山村暮鳥,山村,暮鳥,やまむら,ぼちょう,やまむら,ほちよう,Yamamura,Bocho,1884-01-10,1924-12-08,なし
261,幸徳秋水,幸徳,秋水,こうとく,しゅうすい,こうとく,しゆうすい,Kotoku,Shusui,1871-11-05,1911-01-24,なし
284,内藤湖南,内藤,湖南,ないとう,こなん,ないとう,こなん,Naito,Konan,1866-08-26,1934-06-26,なし
1875,壺井栄,壺井,栄,つぼい,さかえ,つほい,さかえ,Tsuboi,Sakae,1899-08-05,1967-06-23,なし
649,田中正造,田中,正造,たなか,しょうぞう,たなか,しようそう,Tanaka,Shozo,1841-12-15,1913-09-04,なし
355,上村松園,上村,松園,うえむら,しょうえん,うえむら,しようえん,Uemura,Shoen,1875-04-23,1949-08-27,なし
1277,ガンジーマハトマ,ガンジー,マハトマ,ガンジー,マハトマ,かんしい,まはとま,Gandhi,Mahatma,1869-10-02,1948-01-30,なし
1311,三好十郎,三好,十郎,みよし,じゅうろう,みよし,しゆうろう,Miyoshi,Juro,1902-04-21,1958-12-16,なし
259,小出楢重,小出,楢重,こいで,ならしげ,こいて,ならしけ,Koide,Narashige,1887-10-13,1931-02-13,なし
190,大手拓次,大手,拓次,おおて,たくじ,おおて,たくし,Ote,Takuji,1887-12-03,1934-04-18,なし
506,河合栄治郎,河合,栄治郎,かわい,えいじろう,かわい,えいしろう,Kawai,Eijiro,1891-02-13,1944-02-15,なし
1749,三好達治,三好,達治,みよし,たつじ,みよし,たつし,Miyoshi,Tatsuji,1900-08-23,1964-04-05,なし
1047,マロエクトール・アンリ,マロ,エクトール・アンリ,マロ,エクトール・アンリ,まろ,えくとおるあんり,Malot,Hector Henri,1830-05-20,1907-07-17,なし
1021,井上円了,井上,円了,いのうえ,えんりょう,いのうえ,えんりよう,Inoue,Enryo,1858-03-18,1919-06-06,なし
595,島田清次郎,島田,清次郎,しまだ,せいじろう,しまた,せいしろう,Shimada,Seijiro,1899-02-26,1930-04-29,なし
